origen_id,destino_id,origen_lat,origen_lon,destino_lat,destino_lon,calle,distancia_m,trafico,distancia_trafico_m,tiempo_estimado_s,distrito_origen,distrito_destino
309581746,258310049,-12.1604381,-77.0250047,-12.1610552,-77.0257215,Sin nombre,155.61,2.05,319.0,38.3,Chorrillos,Chorrillos
309581746,306073397,-12.1604381,-77.0250047,-12.1588563,-77.0252215,Avenida Malecón Miguel Grau,177.69,1.06,188.35,22.61,Chorrillos,Chorrillos
309581746,4384679598,-12.1604381,-77.0250047,-12.1632305,-77.0250247,Avenida Malecón Miguel Grau,314.52,1.63,512.67,61.55,Chorrillos,Chorrillos
309581823,371264922,-12.1636701,-77.022639,-12.1640695,-77.0220153,Avenida Chorrillos,81.37,1.25,101.71,12.21,Chorrillos,Chorrillos
309581823,1813624307,-12.1636701,-77.022639,-12.1639356,-77.0224937,Avenida Chorrillos,33.82,1.32,44.64,5.36,Chorrillos,Chorrillos
309581835,371264698,-12.1668836,-77.0243059,-12.1668212,-77.0242392,Avenida Alejandro Iglesias,10.04,1.38,13.86,1.66,Chorrillos,Chorrillos
309581835,1813624334,-12.1668836,-77.0243059,-12.1663153,-77.024819,Jirón José M. Barrio Nuevo,84.28,1.36,114.62,13.76,Chorrillos,Chorrillos
309581836,309581942,-12.1626031,-77.0197413,-12.162524,-77.0193903,Sin nombre,47.15,1.35,63.65,7.64,Chorrillos,Chorrillos
309581836,309581838,-12.1626031,-77.0197413,-12.1622089,-77.0193473,Avenida Alejandro Iglesias,61.3,2.38,145.89,17.51,Chorrillos,Chorrillos
309581838,2833193083,-12.1622089,-77.0193473,-12.16214,-77.0192802,Avenida Alejandro Iglesias,10.58,1.86,19.68,2.36,Chorrillos,Chorrillos
309581838,309581942,-12.1622089,-77.0193473,-12.162524,-77.0193903,Avenida Panamericana Sur,35.35,1.83,64.69,7.77,Chorrillos,Chorrillos
309581942,309581952,-12.162524,-77.0193903,-12.1632045,-77.0194688,Avenida Panamericana Sur,76.15,2.49,189.61,22.76,Chorrillos,Chorrillos
309581952,4227526338,-12.1632045,-77.0194688,-12.1629096,-77.0200577,Pasaje Las Cruces,71.92,1.47,105.72,12.69,Chorrillos,Chorrillos
309581952,2833193084,-12.1632045,-77.0194688,-12.165927,-77.0195769,Avenida Panamericana Sur,302.96,1.05,318.11,38.19,Chorrillos,Chorrillos
309582256,3453096713,-12.180754,-76.9932632,-12.180701,-76.9932186,Avenida Guardia Peruana,7.63,2.48,18.92,2.27,Chorrillos,Chorrillos
309582256,7098799266,-12.180754,-76.9932632,-12.1811178,-76.9927791,Avenida El Sol,66.38,2.07,137.41,16.5,Chorrillos,Chorrillos
309582256,3758368349,-12.180754,-76.9932632,-12.1824454,-76.9947116,Avenida Guardia Peruana,245.27,1.49,365.45,43.87,Chorrillos,Chorrillos
309582379,5396196931,-12.1747221,-77.0006629,-12.173737,-76.9999054,Pasaje Los Sauces,137.03,1.58,216.51,25.99,Chorrillos,Chorrillos
309582379,1753892132,-12.1747221,-77.0006629,-12.1743598,-77.0017314,Avenida El Sol,122.94,1.26,154.9,18.6,Chorrillos,Chorrillos
309582388,304905143,-12.1734155,-77.0045847,-12.1743111,-77.0054471,Avenida Ariosto Matellini,136.81,1.43,195.64,23.49,Chorrillos,Chorrillos
309582388,4226846550,-12.1734155,-77.0045847,-12.1730785,-77.004812,Avenida El Sol,44.95,1.16,52.14,6.26,Chorrillos,Chorrillos
309583113,1273642177,-12.1970217,-76.978053,-12.1969793,-76.9780114,Víctor Andrés Belaúnde Terry,6.53,1.19,7.77,0.93,Chorrillos,Chorrillos
309583113,4356786026,-12.1970217,-76.978053,-12.1971077,-76.9781375,Víctor Andrés Belaúnde Terry,13.26,1.52,20.16,2.42,Chorrillos,Chorrillos
309583113,4228742687,-12.1970217,-76.978053,-12.1962796,-76.9787855,Avenida San Juan,114.76,1.43,164.11,19.7,Chorrillos,Chorrillos
309583133,7084321865,-12.1847519,-76.990761,-12.1846961,-76.9906962,Calle Los Naranjos,9.39,1.64,15.4,1.85,Chorrillos,Chorrillos
309583133,1273942153,-12.1847519,-76.990761,-12.1849585,-76.9910014,Calle Los Naranjos,34.79,2.49,86.63,10.4,Chorrillos,Chorrillos
309583133,7084358111,-12.1847519,-76.990761,-12.1854968,-76.9902299,Avenida Los Alamos,100.96,1.08,109.04,13.09,Chorrillos,Chorrillos
309583140,1273902185,-12.1826079,-76.9914813,-12.1835485,-76.9914566,Avenida Los Alamos,104.82,1.75,183.44,22.02,Chorrillos,Chorrillos
309583140,3758360374,-12.1826079,-76.9914813,-12.1828749,-76.9916352,Calle Los Lirios,34.33,1.6,54.93,6.59,Chorrillos,Chorrillos
309583143,4199039323,-12.182078,-76.9915337,-12.1823467,-76.9917454,Calle Los Jazmines,37.71,2.36,89.0,10.68,Chorrillos,Chorrillos
309583143,309583140,-12.182078,-76.9915337,-12.1826079,-76.9914813,Avenida Los Alamos,60.93,2.01,122.47,14.7,Chorrillos,Chorrillos
309583178,1229283766,-12.1782225,-76.9963958,-12.1782828,-76.9963194,Avenida El Sol,10.67,1.75,18.67,2.24,Chorrillos,Chorrillos
309583178,4941401548,-12.1782225,-76.9963958,-12.1801606,-76.9980272,Avenida Guardia Civil Sur,279.08,1.95,544.21,65.33,Chorrillos,Chorrillos
309583231,2833238368,-12.1844101,-77.005252,-12.1846338,-77.0064496,Avenida Guardia Civil Sur,132.52,1.51,200.11,24.02,Chorrillos,Chorrillos
309583390,5555008233,-12.1744741,-76.9912715,-12.1746223,-76.9894192,Avenida Alipio Ponce,216.13,2.11,456.03,54.75,Chorrillos,Chorrillos
309583429,3952980784,-12.1724072,-76.9826795,-12.1723708,-76.9828507,Avenida Alipio Ponce,19.04,2.45,46.65,5.6,Chorrillos,Chorrillos
